index,company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls
8828,Yumit,yumit,yumit.com,https://yumit.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://yumit.com/careers | http://yumit.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8829,1doc3,1doc3,1doc3.com,https://1doc3.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://1doc3.com/careers | http://www.1doc3.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8830,Acsendo,acsendo,acsendo.com,https://acsendo.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://acsendo.com/careers | http://www.acsendo.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8831,Asegurate Facil,aseguratefacil,aseguratefacil.com,https://aseguratefacil.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://aseguratefacil.com/careers | https://www.aseguratefacil.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8832,Boda Group,bodagroup,bodagroup.co,https://bodagroup.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://bodagroup.co/careers | http://www.bodagroup.co/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8833,Brainz Games,brainzgames,brainz.co,https://brainz.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://brainz.co/careers | http://www.brainz.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8834,Celotor,celotor,celotor.com,https://celotor.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://celotor.com/careers | http://www.celotor.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8835,Ciudad de Mascotas,ciudaddemascotas,ciudaddemascotas.com,https://ciudaddemascotas.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://ciudaddemascotas.com/careers | http://www.ciudaddemascotas.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8836,Cocina33/ Cocina Mejor,cocina33cocinamejor,cocina33.com,https://cocina33.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://cocina33.com/careers | http://www.cocina33.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8837,Cocodrilo Dog,cocodrilodog,cocodrilodog.com,https://cocodrilodog.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://cocodrilodog.com/careers | http://www.cocodrilodog.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
